id,name,category,brand,description,price,specs
11,Annibale Colombo Bed,furniture,Annibale Colombo,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",256499.00,"furniture, beds"
12,Annibale Colombo Sofa,furniture,Annibale Colombo,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",337499.00,"furniture, sofas"
13,Bedside Table African Cherry,furniture,Furniture Co.,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",40499.00,"furniture, bedside tables"
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",67499.00,"furniture, office chairs, ergonomic, business productivity"
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",107999.00,"furniture, bathroom, wooden"
43,Decoration Swing,home-decoration,Generic,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",8099.00,"home decor, swing"
44,Family Tree Photo Frame,home-decoration,Generic,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",4049.00,"home decor, photo frame"
45,House Showpiece Plant,home-decoration,Generic,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,5399.00,"home decor, artificial plants"
46,Plant Pot,home-decoration,Generic,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",2024.00,"home decor, plant accessories"
47,Table Lamp,home-decoration,Generic,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",6749.00,"home decor, lighting"
48,Bamboo Spatula,kitchen-accessories,Generic,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",1079.00,"kitchen tools, utensils, bamboo"
49,Black Aluminium Cup,kitchen-accessories,Generic,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,809.00,"drinkware, cups, aluminium"
50,Black Whisk,kitchen-accessories,Generic,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,1349.00,"kitchen tools, utensils, ergonomic"
